name;;sort_name
Europe -- Austria -- Innsbruck -- Collegium Canisianum;;Europe -- Austria -- Innsbruck -- Collegium Canisianum
Europe -- Austria -- Innsbruck -- Leopold-Franzens-Universität Innsbruck;;Europe -- Austria -- Innsbruck -- Leopold-Franzens-Universität Innsbruck
Europe -- Austria -- Innsbruck -- University of Innsbruck;;Europe -- Austria -- Innsbruck -- University of Innsbruck
Europe -- Austria -- Klagenfurt;;Europe -- Austria -- Klagenfurt
Europe -- Austria -- Klagenfurt -- Jesuit College;;Europe -- Austria -- Klagenfurt -- Jesuit College
Europe -- Austria -- Lower Austria -- Feldsberg;;Europe -- Austria -- Lower Austria -- Feldsberg
Europe -- Austria -- Salzburg;;Europe -- Austria -- Salzburg
Europe -- Austria -- Styria;;Europe -- Austria -- Styria
Europe -- Austria -- Styria -- Graz;;Europe -- Austria -- Styria -- Graz
Europe -- Austria -- Tyrol;;Europe -- Austria -- Tyrol
Europe -- Austria -- Vienna;;Europe -- Austria -- Vienna
Europe -- Austria -- Vienna -- Church of the Jesuits;;Europe -- Austria -- Vienna -- Church of the Jesuits
Europe -- Austria -- Vienna -- Pazmaneum Seminary;;Europe -- Austria -- Vienna -- Pazmaneum Seminary
Europe -- Austria -- Vienna -- University Church;;Europe -- Austria -- Vienna -- University Church
Europe -- Belarus;;Europe -- Belarus
Europe -- Belarus -- Nieśwież;;Europe -- Belarus -- Nieśwież
Europe -- Belarus -- Nieśwież (Ni︠a︡sviz︠h︡);;Europe -- Belarus -- Nieśwież (Ni︠a︡sviz︠h︡)
Europe -- Belarus -- Polatsk;;Europe -- Belarus -- Polatsk
Europe -- Belarus -- Slusk;;Europe -- Belarus -- Slusk
Europe -- Belarus -- Slutsk;;Europe -- Belarus -- Slutsk
Europe -- Belgium;;Europe -- Belgium
Europe -- Belgium -- Aalst;;Europe -- Belgium -- Aalst
Europe -- Belgium -- Antwerp;;Europe -- Belgium -- Antwerp
Europe -- Belgium -- Antwerp -- Jesuit Church;;Europe -- Belgium -- Antwerp -- Jesuit Church
Europe -- Belgium -- Antwerp -- Plantin Press;;Europe -- Belgium -- Antwerp -- Plantin Press
Europe -- Belgium -- Antwerp -- St. Carolus Borromeus Church;;Europe -- Belgium -- Antwerp -- St. Carolus Borromeus Church
Europe -- Belgium -- Anvers;;Europe -- Belgium -- Anvers
Europe -- Belgium -- Bruges;;Europe -- Belgium -- Bruges
Europe -- Belgium -- Bruges -- English College of Bruges;;Europe -- Belgium -- Bruges -- English College of Bruges
Europe -- Belgium -- Brussels;;Europe -- Belgium -- Brussels
Europe -- Belgium -- Brussels -- Institut d’Études Théologiques;;Europe -- Belgium -- Brussels -- Institut d’Études Théologiques
Europe -- Belgium -- Duchy of Brabant;;Europe -- Belgium -- Duchy of Brabant
Europe -- Belgium -- Flanders;;Europe -- Belgium -- Flanders
Europe -- Belgium -- Ghent;;Europe -- Belgium -- Ghent
Europe -- Belgium -- Leuven;;Europe -- Belgium -- Leuven
Europe -- Belgium -- Leuven -- English College of Leuven;;Europe -- Belgium -- Leuven -- English College of Leuven
Europe -- Belgium -- Liège;;Europe -- Belgium -- Liège
Europe -- Belgium -- Liège -- English College of Liège;;Europe -- Belgium -- Liège -- English College of Liège
Europe -- Belgium -- Louvain;;Europe -- Belgium -- Louvain
