display_name;;name;;birth_date;;death_date
Burnier, João Bosco, 1917-1976;;Burnier, João Bosco;;1917;;1976
Burns, Robert I., 1921-2008;;Burns, Robert I.;;1921;;2008
Burns, Vincent M., 1922-;;Burns, Vincent M.;;1922;;
Burriel, Andrés Marcos, 1719-1762;;Burriel, Andrés Marcos;;1719;;1762
Burriel, Andrés Marcos, 1719-1762;;Burriel, Andrés Marcos;;1719;;1762
Busa, Roberto, 1913-2011;;Busa, Roberto;;1913;;2011
Bussières, Jean de, 1607-1678;;Bussières, Jean de;;1607;;1678
Butler, Theobald, 1826-1916;;Butler, Theobald;;1826;;1916
Buys, Jan, 1547-1611;;Buys, Jan;;1547;;1611
Byron, William J., 1927-;;Byron, William J.;;1927;;
Cabeo, Niccolò, 1585-1650;;Cabeo, Niccolò;;1585;;1650
Cabral, Francesco, 1528-1609;;Cabral, Francesco;;1528;;1609
Cabral, Francisco, 1528-1609;;Cabral, Francisco;;1528;;1609
Cabral, João, 1599-1669;;Cabral, João;;1599;;1669
Cacella, Estêvão, 1585-1630;;Cacella, Estêvão;;1585;;1630
Calatayud, Pedro de, 1689-1773;;Calatayud, Pedro de;;1689;;1773
Calleja, Diego, 1638-c.1725;;Calleja, Diego;;1638;;c.1725
Caloen, Louis van, 1817-1912;;Caloen, Louis van;;1817;;1912
Calpotura, Venancio, 1945-2005;;Calpotura, Venancio;;1945;;2005
Calveras, José, 1890-1964;;Calveras, José;;1890;;1964
Calvez, Jean-Yves, 1927-2010;;Calvez, Jean-Yves;;1927;;2010
Camaño, Joaquín, 1737-1820;;Camaño, Joaquín;;1737;;1820
Camargo, Ludovicus de, 1622-1690;;Camargo, Ludovicus de;;1622;;1690
Camel, Georg Joseph, 1661-1706;;Camel, Georg Joseph;;1661;;1706
Campbell, Gerard J., 1919-2012;;Campbell, Gerard J.;;1919;;2012
Campion, Edmund, 1540-1581;;Campion, Edmund;;1540;;1581
Campion, Edmund, Saint, 1540-1581;;Campion, Edmund, Saint;;1540;;1581
Campos, Joseph Agustín de, 1669-1737;;Campos, Joseph Agustín de;;1669;;1737
Campoy, José Rafael, 1723-1777;;Campoy, José Rafael;;1723;;1777
Canal, Gerónimo de la, active 17th century;;Canal, Gerónimo de la;;active 17th century;;
Canelas, Manuel, 1718-1773;;Canelas, Manuel;;1718;;1773
Canillac, François de, 1574-1629;;Canillac, François de;;1574;;1629
Canisius, Peter, 1521-1597;;Canisius, Peter;;1521;;1597
Canisius, Peter, Saint, 1521-1597;;Canisius, Peter, Saint;;1521;;1597
Cano, Marcos;;Cano, Marcos;;;;
Cantova, Juan Antonio, 1686-1731;;Cantova, Juan Antonio;;1686;;1731
Caplice, Richard I., 1931-2011;;Caplice, Richard I.;;1931;;2011
Carafa, Vincenzo, 1585-1649;;Carafa, Vincenzo;;1585;;1649
Caraman, Philip, 1911-1998;;Caraman, Philip;;1911;;1998
Caramuel, Juan de, 1606-1682;;Caramuel, Juan de;;1606;;1682
Carayon, Auguste, 1813-1874;;Carayon, Auguste;;1813;;1874
Carbonel, Gerard, 1580-1646;;Carbonel, Gerard;;1580;;1646
Cardenal, Fernando, 1934-2016;;Cardenal, Fernando;;1934;;2016
Cardim, António Francisco, 1596-1659;;Cardim, António Francisco;;1596;;1659
Cardim, Fernão, d.1625;;Cardim, Fernão;;;;d.1625
Cardim, Fernão, 1549-1625;;Cardim, Fernão;;1549;;1625
Cardim, Fernão, d.1625;;Cardim, Fernão;;;;d.1625
Cardoso, Mateo, 1584-1625;;Cardoso, Mateo;;1584;;1625
Cardoso, Mattheus, 1584-1625;;Cardoso, Mattheus;;1584;;1625
Carheil, Étienne de, 1633-1726;;Carheil, Étienne de;;1633;;1726
Carleton, Thomas Compton, 1591-1666;;Carleton, Thomas Compton;;1591;;1666
Carlucci, Gaetano, 1834-1900;;Carlucci, Gaetano;;1834;;1900
Carneiro, Melchior, 1516-1583;;Carneiro, Melchior;;1516;;1583
Carochi, Horacio, 1579-1662;;Carochi, Horacio;;1579;;1662
Caroll, Tomas, 1909-1964;;Caroll, Tomas;;1909;;1964
Carrara, Ubertino, 1642-1716;;Carrara, Ubertino;;1642;;1716
Carrara, Ubertino, 1642-1718;;Carrara, Ubertino;;1642;;1718
Carroll, John J., 1924-2014;;Carroll, John J.;;1924;;2014
Carroll, John, 1735-1815;;Carroll, John;;1735;;1815
Carvalho, Jacinto de, 1677-1744;;Carvalho, Jacinto de;;1677;;1744
Carvalho, Valentim, 1559-1631;;Carvalho, Valentim;;1559;;1631
Casas, Ignacio de las, 1550-1608;;Casas, Ignacio de las;;1550;;1608
Casati, Paolo, 1617-1707;;Casati, Paolo;;1617;;1707
Casey, Stephen, 1926-;;Casey, Stephen;;1926;;
Casey, Thomas G., active 20th-21st century;;Casey, Thomas G.;;active 20th-21st century;;
Casnedi, Carlo Antonio, 1643-1725;;Casnedi, Carlo Antonio;;1643;;1725
Cassani, José, 1673-1750;;Cassani, José;;1673;;1750
Cassani, José, 1673-1750;;Cassani, José;;1673;;1750
Castaño, Bartolomé, 1601-1672;;Castaño, Bartolomé;;1601;;1672
Castel, Louis-Bertrand de, 1688-1757;;Castel, Louis-Bertrand de;;1688;;1757
Castiglione, Giuseppe, 1688-1766;;Castiglione, Giuseppe;;1688;;1766
Castillo, Juan del, 1566-1628;;Castillo, Juan del;;1566;;1628
Castner, Caspar, 1655-1709;;Castner, Caspar;;1655;;1709
Castrillo, Hernando, 1586-1667;;Castrillo, Hernando;;1586;;1667
Castro, Agustín Pablo de, 1728-1790;;Castro, Agustín Pablo de;;1728;;1790
Castro, Cristóbal de, 1551-1615;;Castro, Cristóbal de;;1551;;1615
Cataldo, Giuseppe, 1837-1920;;Cataldo, Giuseppe;;1837;;1920
Cataldo, Joseph Mary, 1837-1928;;Cataldo, Joseph Mary;;1837;;1928
Cathrein, Victor, 1845-1931;;Cathrein, Victor;;1845;;1931
Cattaneo, Lazzaro, 1560-1640;;Cattaneo, Lazzaro;;1560;;1640
Caussade, Jean Pierre de, 1675-1751;;Caussade, Jean Pierre de;;1675;;1751
